,cell_type
1469,Proliferating T cells
1470,Mono 1
1471,TAM 2
1472,TAM 2
1473,Mono 1
1474,Tcells 1
1475,Mono 1
1476,Tcells 1
1477,NK
1478,NK
1479,Tcells 1
1480,Tcells 1
1481,TAM 3
1482,Tcells 2
1483,Proliferating T cells
1484,Tcells 1
1485,TAM 5
1486,TAM 3
1487,Proliferating TAM
1488,Treg
1489,Tcells 2
1490,Tcells 3
1491,Tcells 1
1492,Tcells 2
1493,Treg
1494,TAM 2
1495,Proliferating TAM
1496,Proliferating TAM
1497,Mono 1
1498,NK
1499,Proliferating TAM
1500,NK
1501,TAM 2
1502,TAM 5
1503,TAM 5
1504,Tcells 1
1505,Mono 2
1506,cDC1
1507,Mono 1
1508,Tcells 1
1509,Tcells 1
1510,Tcells 1
1511,NK
1512,Tcells 1
1513,Tcells 1
1514,cDC2
1515,Mono 1
1516,Tcells 1
1517,cDC1
1518,Tcells 2
1519,TAM 4
1520,TAM 5
1521,Mono 1
1522,Mono 1
1523,Tcells 1
1524,Mono 1
1525,Tcells 1
1526,TAM 2
1527,Proliferating T cells
1528,Mono 1
1529,TAM 5
1530,TAM 3
1531,Tcells 2
1532,TAM 3
1533,Tcells 2
1534,Tcells 2
1535,Proliferating TAM
1536,TAM 3
1537,NK
1538,TAM 4
1539,Proliferating TAM
1540,TAM 5
1541,TAM 3
1542,Proliferating TAM
1543,B
1544,TAM 5
1545,TAM 5
1546,TAM 3
1547,TAM 5
1548,TAM 3
1549,TAM 2
1550,Mono 1
1551,B
1552,Tcells 3
1553,Mono 1
1554,Proliferating TAM
1555,TAM 3
1556,Tcells 1
1557,Mono 1
1558,TAM 4
1559,TAM 5
1560,NK
1561,Tcells 3
1562,Mono 1
1563,Proliferating TAM
1564,TAM 5
1565,Tcells 1
1566,TAM 5
1567,Proliferating TAM
1568,Proliferating TAM
1569,Mono 1
1570,TAM 3
1571,Proliferating TAM
1572,Mono 1
1573,Tcells 1
1574,Tcells 3
1575,TAM 1
1576,Tcells 1
1577,TAM 3
1578,Mono 1
1579,Proliferating TAM
1580,TAM 5
1581,Tcells 1
1582,cDC2
1583,Mono 2
1584,Tcells 2
1585,TAM 5
1586,TAM 5
1587,Proliferating TAM
1588,Proliferating T cells
1589,Proliferating TAM
1590,TAM 5
1591,Tcells 2
1592,Tcells 1
1593,Tcells 3
1594,Mono 1
1595,TAM 5
1596,Tcells 3
1597,TAM 3
1598,TAM 1
1599,Tcells 2
1600,Mono 1
1601,Tcells 1
1602,TAM 5
1603,Tcells 3
1604,TAM 3
1605,TAM 5
1606,Tcells 1
1607,TAM 3
1608,Tcells 3
1609,Tcells 1
1610,Mono 1
1611,NK
1612,Tcells 2
1613,Mono 1
1614,Proliferating TAM
